input_0,output_0
input_2021-01-19-15-56-31.png,"Marne Wale Hai Is A
Universal Truth.

But Yeh Nahi malum Kab.
Agar Yeh Malum rheta
tho Zindagi Paiso ka
hisab Nahi rhakti.
Rhakti tho sirf har Ek
Pal ka hisab.
"
input_2021-01-19-15-56-33.png,"Marne Wale Hai Is A
Universal Truth.

But Yeh Nahi malum Kab.
Agar Yeh Malum rheta
tho Zindagi Paiso ka
hisab Nahi rhakti.
Rhakti tho sirf har Ek
Pal ka hisab.
"
